"Event_ID","Station_ID","Protocol_Name","Start_Date","Start_Time","End_Time","Repeat_Sample","Habitat_Date","Event_Notes","Entered_By","Entered_Date","Updated_By","Updated_Date","Verified","Verified_By","Verified_Date","Certified","Certified_By","Certified_Date","QA_notes"
"20210602161324-149245738.983154","20210428171318-77684700.4890442","Landbirds","2021-04-13","10:13","10:22",0,"","Wet","Erin Bell","2021-06-02","Kelly Kozar","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15","Sampling time is recorded as 9 minutes on datasheet."
"20210604092153-919377088.546753","20210428171318-494376718.997955","Landbirds","2021-04-13","11:18","11:26",0,"","Wet. Crickets, short pause for radio check.","Erin Bell","2021-06-04","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521133552-780381619.930267","20210428171318-783374011.516571","Landbirds","2021-04-13","07:37","07:45",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521092321-657054960.727692","20210428171318-503371179.103851","Landbirds","2021-04-13","09:30","09:38",0,"","Wet.  Medium stream noise.","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521133339-974221229.553223","20210428171318-791155457.496643","Landbirds","2021-04-13","07:05","07:13",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520153424-785212218.761444","20210428171318-800669848.918915","Landbirds","2021-04-13","12:08","12:16",0,"","mesic","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521111219-432827174.663544","20210428171318-802587389.945984","Landbirds","2021-04-13","09:22","09:30",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210528093437-919377088.546753","20210428171318-28246939.1822815","Landbirds","2021-04-13","08:27","08:35",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521111559-133155107.498169","20210428171318-417599201.202393","Landbirds","2021-04-13","09:52","10:00",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521125814-866232037.54425","20210428171318-450942277.908325","Landbirds","2021-04-13","06:30","06:38",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507144810-257267653.942108","20210428171318-441216230.392456","Landbirds","2021-04-13","10:29","10:37",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210521112710-957129836.082458","20210428171318-433457136.154175","Landbirds","2021-04-13","10:59","11:07",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521090304-919377088.546753","20210428171318-517255842.685699","Landbirds","2021-04-13","08:44","08:52",0,"","Wet. Cool akia tree about 10 meters tall","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602161636-814663946.628571","20210428171318-432759523.391724","Landbirds","2021-04-13","10:30","10:38",0,"","Wet","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521104810-355577528.476715","20210428171318-431144356.7276","Landbirds","2021-04-13","07:35","07:43",0,"","Wet","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210602150359-814490020.275116","20210428171318-528229653.835297","Landbirds","2021-04-13","07:20","07:29",0,"","Wet. Wind above trees, mossy floor, moved waypoint.","Erin Bell","2021-06-02","Kelly Kozar","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15","Sampling time is recorded as 9 minutes on datasheet."
"20210604091721-15703916.5496826","20210428171318-542029261.58905","Landbirds","2021-04-13","11:01","11:09",0,"","Wet","Erin Bell","2021-06-04","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521110922-44667840.0039673","20210428171318-347832679.748535","Landbirds","2021-04-13","09:06","09:14",0,"","Wet. Station ""10/11"".","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521085652-824602127.075195","20210428171318-557501018.047333","Landbirds","2021-04-13","07:59","08:07",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528093557-462980031.967163","20210428171318-257789969.444275","Landbirds","2021-04-13","08:45","08:53",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602151502-410073220.729828","20210428171318-573519527.91214","Landbirds","2021-04-13","08:06","08:14",0,"","Wet. Mossy floor, wind is above trees","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520143204-223737537.86087","20210428171318-416648387.908936","Landbirds","2021-04-13","08:04","08:12",0,"","Wet, rain was 2/3 during first two counts","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528094230-97929835.319519","20210428171318-581502735.614777","Landbirds","2021-04-13","09:51","09:59",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521105021-899490654.468536","20210428171318-401982605.457306","Landbirds","2021-04-13","07:48","07:56",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521093344-588628590.106964","20210428171318-395844280.719757","Landbirds","2021-04-13","10:14","10:22",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521093636-406421303.749084","20210428171318-378991246.22345","Landbirds","2021-04-13","10:34","10:42",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521104016-791464030.742645","20210428171318-634571135.044098","Landbirds","2021-04-13","06:53","07:01",0,"","Wet. Lots of rain drip","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210506140555-97973823.5473633","20210428171318-377407610.416412","Landbirds","2021-04-13","07:17","07:25",0,"","Rain noise, stream noise. Topo: mid-slope. Water cover: stream, 30%.","Seth Judge","2021-05-06","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210520151037-895446240.901947","20210428171318-674826085.567474","Landbirds","2021-04-13","10:32","10:40",0,"","Wet","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521133151-52632272.2434998","20210428171318-555113255.977631","Landbirds","2021-04-13","06:45","06:53",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521090037-979829370.975494","20210428171318-965364456.176758","Landbirds","2021-04-13","08:20","08:28",0,"","Wet. APAP (DIST 144, DT 2) was across gulch, exact distance.","Erin Bell","2021-05-21","Kelly Kozar","2021-07-19",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210506141851-331694424.152374","20210428171318-900333881.378174","Landbirds","2021-04-13","08:38","08:46",0,"",,"Seth Judge","2021-05-06","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210520150838-151756227.016449","20210428171318-905129313.468933","Landbirds","2021-04-13","09:43","09:51",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520151415-14017641.544342","20210428171318-804267168.045044","Landbirds","2021-04-13","10:58","11:06",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521104522-184224188.327789","20210428171318-15682399.2729187","Landbirds","2021-04-13","07:21","07:29",0,"","Wet. Rain!","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521112918-959699332.714081","20210428171318-944971024.990082","Landbirds","2021-04-13","11:12","11:20",0,"","Wet","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210507142320-709037899.971008","20210428171318-949905514.717102","Landbirds","2021-04-13","09:53","10:01",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210520145311-16297698.0209351","20210428171318-954157948.493958","Landbirds","2021-04-13","08:40","08:48",0,"","Wet, coprosma, rain stopped but still dripping from trees. This is station ""11/12"".","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602154550-30950605.8692932","20210428171318-185402512.550354","Landbirds","2021-04-13","09:55","10:03",0,"","Wet. Moved waypoint. As=Astelia","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210506140902-404834151.268005","20210428171318-151656985.282898","Landbirds","2021-04-13","07:43","07:51",0,"","Stream noise, some bird's nest fern (NF). Water cover: stream, 10%.","Seth Judge","2021-05-06","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521085429-373536169.528961","20210428171318-909204125.404358","Landbirds","2021-04-13","07:41","07:49",0,"","Wet. On finger ridge. Ohelo, ho: kuahiwi, ieie present but less rapid detectability","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520152605-279342055.32074","20210428171318-972729027.271271","Landbirds","2021-04-13","11:25","11:33",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521094522-61522245.4071045","20210428171318-972966670.98999","Landbirds","2021-04-13","11:09","11:17",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210506132904-814490020.275116","20210428171318-979530990.123749","Landbirds","2021-04-13","06:30","06:38",0,"","60m from the pump station which is very noisy. Topo: mid-slope.","Seth Judge","2021-05-06","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210528093736-753688097.000122","20210428171318-145000398.159027","Landbirds","2021-04-13","09:12","09:20",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521110555-410402178.764343","20210428171318-985373914.241791","Landbirds","2021-04-13","08:44","08:52",0,"","Wet","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210521090815-979077935.218811","20210428171318-138732314.109802","Landbirds","2021-04-13","09:04","09:12",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520142947-395844280.719757","20210428171318-123082816.6008","Landbirds","2021-04-13","07:18","07:26",0,"","Wet. Windfall/downed tree near Station 14, tricky to navigate to next station.  Could not find any blossoms","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521105437-518669784.069061","20210428171318-121549963.951111","Landbirds","2021-04-13","08:24","08:32",0,"","Wet. Station ""7/8"".","Erin Bell","2021-05-21","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210604091401-790480017.662048","20210428171318-959270894.527435","Landbirds","2021-04-13","10:46","10:54",0,"","Wet. Mongoose","Erin Bell","2021-06-04","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210506133922-948571085.929871","20210428171318-188131809.234619","Landbirds","2021-04-13","06:56","07:04",0,"","Stream noise. Saw big pig. Topo: mid-slope. Water cover: stream, 30%.","Seth Judge","2021-05-06","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210507082716-961953163.146973","20210428171318-834893286.22818","Landbirds","2021-04-13","08:55","09:03",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210507144142-160441517.829895","20210428171318-846187412.7388","Landbirds","2021-04-13","10:12","10:20",0,"",,"Seth Judge","2021-05-07","Seth Judge","2021-07-15",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210528093051-300970494.747162","20210428171318-827898979.187012","Landbirds","2021-04-13","08:10","08:18",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520150638-330300807.952881","20210428171318-875779688.358307","Landbirds","2021-04-13","09:11","09:19",0,"","Wet, forgot ohia phenology","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602154320-544013977.050781","20210428171318-203582286.834717","Landbirds","2021-04-13","09:09","09:17",0,"","Wet. Mossy, moved waypoint","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507090145-542070209.980011","20210428171318-231596648.693085","Landbirds","2021-04-13","09:40","09:48",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-12",1,"Kim Weisenborn","2021-07-12",1,"Seth Judge","2021-07-15",
"20210528094530-340606570.243835","20210428171318-872118115.42511","Landbirds","2021-04-13","10:12","10:20",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210602153616-489894747.73407","20210428171318-207593619.823456","Landbirds","2021-04-13","08:49","08:57",0,"","Wet","Erin Bell","2021-06-02","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521094328-302497565.746307","20210428171318-217799842.357635","Landbirds","2021-04-13","10:52","11:00",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528120235-704395771.026611","20210428171318-409323275.089264","Landbirds","2021-04-14","11:02","11:10",0,"","Wet. On ridge at edge of valley/dropoff. Crickets. Station 17 2004/2010 about 30 m below station 15.","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507150300-347726404.666901","20210428171318-245678842.067719","Landbirds","2021-04-14","07:27","07:35",0,"","Wave noise","Seth Judge","2021-05-07","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210507153748-610432803.630829","20210428171318-245173931.121826","Landbirds","2021-04-14","10:14","10:22",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210514085957-390291452.407837","20210428171318-243147850.036621","Landbirds","2021-04-14","09:46","09:54",0,"","Mesic","Erin Bell","2021-05-14","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210604093026-241219.997406006","20210428171318-425485014.915466","Landbirds","2021-04-14","07:46","07:54",0,"","Wet. Moved waypoint, waypoint showed in gulch. Weird numbering here, found station 8 about 60 m before waypoint.","Erin Bell","2021-06-04","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528101153-217799842.357635","20210428171318-218000352.38266","Landbirds","2021-04-14","10:25","10:33",0,"","Wet","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520155809-370515346.5271","20210428171318-223737537.86087","Landbirds","2021-04-14","09:11","09:19",0,"","Wet. Boggy.","Erin Bell","2021-05-20","Staff","2021-06-18",1,"Laura Berthold","2021-06-18",1,"Seth Judge","2021-07-15",
"20210514090728-322717666.625977","20210428171318-114332795.143127","Landbirds","2021-04-14","10:22","10:30",0,"","Mesic. No canopy height included in rapid veg.","Erin Bell","2021-05-14","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520101403-489830434.322357","20210428171318-110386848.449707","Landbirds","2021-04-14","10:21","10:29",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507152306-533022344.112396","20210428171318-438826382.160187","Landbirds","2021-04-14","08:40","08:48",0,"","XB = Christmas Berry","Seth Judge","2021-05-07","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210520161904-410631656.646729","20210428171318-441114664.077759","Landbirds","2021-04-14","11:27","11:35",0,"","Wet. On skinny ridge, can look off both sides.","Erin Bell","2021-05-20","Staff","2021-06-18",1,"Laura Berthold","2021-06-18",1,"Seth Judge","2021-07-15",
"20210520101602-216733515.262604","20210428171318-109738528.728485","Landbirds","2021-04-14","10:40","10:48",0,"","Turns to grass in about 25m, wet","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528101631-757029533.38623","20210428171318-446993231.773376","Landbirds","2021-04-14","10:55","11:03",0,"","Wet.  Codominant trees in patchy forest","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521102027-872118115.42511","20210428171318-106133759.021759","Landbirds","2021-04-14","10:26","10:34",0,"","Mesic","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528102606-896616637.706757","20210428171318-236027777.194977","Landbirds","2021-04-14","11:19","11:27",0,"","Mesic","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520094823-186013519.763947","20210428171318-258442044.258118","Landbirds","2021-04-14","08:12","08:20",0,"","Wet, gusts of wind coming and going","Erin Bell","2021-05-20","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528094754-422918260.097504","20210428171318-323554813.861847","Landbirds","2021-04-14","08:31","08:39",0,"","Wet.  Moved slightly to rim for part of count","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521100526-875779688.358307","20210428171318-187775135.040283","Landbirds","2021-04-14","08:35","08:43",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520101856-395844280.719757","20210428171318-290577530.860901","Landbirds","2021-04-14","11:00","11:10",0,"","Mesic. In shrubby ohia/grass.","Erin Bell","2021-05-20","Kelly Kozar","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15","Sampling time is recorded as 10 minutes on datasheet."
"20210520095141-462980031.967163","20210428171318-174484074.115753","Landbirds","2021-04-14","08:33","08:41",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520100326-928785979.747772","20210428171318-16988694.6678162","Landbirds","2021-04-14","09:12","09:20",0,"","Good view, wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520155604-406421303.749084","20210428171318-326143980.026245","Landbirds","2021-04-14","08:53","09:01",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-18",1,"Laura Berthold","2021-06-18",1,"Seth Judge","2021-07-15",
"20210520100820-130420446.395874","20210428171318-339090704.917908","Landbirds","2021-04-14","09:31","09:39",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210514084427-97973823.5473633","20210428171318-151756227.016449","Landbirds","2021-04-14","08:57","09:05",0,"","Mesic","Erin Bell","2021-05-14","Kelly Kozar","2021-07-19",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521101530-834893286.22818","20210428171318-276123285.293579","Landbirds","2021-04-14","10:11","10:19",0,"","Mesic","Erin Bell","2021-05-21","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521102218-425485014.915466","20210428171318-406062722.206116","Landbirds","2021-04-14","10:40","10:48",0,"","Mesic","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210520155956-115470111.370087","20210428171318-155435681.343079","Landbirds","2021-04-14","09:32","09:40",0,"","Wet","Erin Bell","2021-05-20","Staff","2021-06-18",1,"Laura Berthold","2021-06-18",1,"Seth Judge","2021-07-15",
"20210521095633-542029261.58905","20210428171318-372814297.676086","Landbirds","2021-04-14","07:54","08:02",0,"","Wet","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528103221-205047190.189362","20210428171318-374432206.15387","Landbirds","2021-04-14","12:07","12:15",0,"","Mesic. Forest edge- xeric shrublands below","Erin Bell","2021-05-28","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210507150027-322717666.625977","20210428171318-378606200.218201","Landbirds","2021-04-14","07:01","07:09",0,"",,"Seth Judge","2021-05-07","Kim Weisenborn","2021-07-13",1,"Kim Weisenborn","2021-07-13",1,"Seth Judge","2021-07-15",
"20210604094549-695281803.607941","20210428171318-206485390.663147","Landbirds","2021-04-14","09:16","09:24",0,"","Wet. Found station 12 about 20 m above where this 2021 new station 11 is. Moved station waypoint to be on trail.","Erin Bell","2021-06-04","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210513134425-14017641.544342","20210428171318-312288105.487823","Landbirds","2021-04-14","08:26","08:34",0,"","Mesic","Erin Bell","2021-05-13","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210528095445-634571135.044098","20210428171318-389501869.678497","Landbirds","2021-04-14","09:54","10:02",0,"","Wet.  Zoom H2N, WRSH after count. Station ""3/4"".","Erin Bell","2021-05-28","Seth Judge","2021-07-15",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
"20210521102747-283559679.985046","20210428171318-164234161.376953","Landbirds","2021-04-14","11:51","11:59",0,"","Mesic","Erin Bell","2021-05-21","Staff","2021-06-17",1,"Laura Berthold","2021-06-17",1,"Seth Judge","2021-07-15",
